,rank,major,degree,early career pay,mid career pay,percent high meaning
391,392,American History (United States),Bachelors,58900,94900,49
392,393,Architectural Studies,Bachelors,50900,94800,38
393,393,Communication,Bachelors,54800,94800,46
394,393,Personnel Management,Bachelors,57900,94800,68
395,396,General Business,Bachelors,56300,94700,51
396,396,Interior Architecture,Bachelors,53500,94700,48
397,396,Public Affairs,Bachelors,59400,94700,52
398,396,Natural Sciences,Bachelors,49500,94700,54
399,400,Writing,Bachelors,49900,94600,44
400,401,Human Biology,Bachelors,57400,94500,72
401,401,Marketing & Mass Communications,Bachelors,53700,94500,40
402,401,Computer Art,Bachelors,44600,94500,33
403,404,French Language,Bachelors,56100,94100,48
404,404,Journalism,Bachelors,52300,94100,44
405,406,Interpersonal & Organizational Communication,Bachelors,47500,94000,72
406,406,Organizational Communication,Bachelors,52400,94000,48
407,406,Textile Design,Bachelors,56200,94000,36
408,409,Biology & Chemistry,Bachelors,55700,93900,66
409,409,Nursing,Bachelors,73100,93900,82
410,409,Public Relations & Communication,Bachelors,51700,93900,48
411,412,Environmental & Natural Resource Economics,Bachelors,58600,93700,66
412,413,Biology,Bachelors,53500,93600,65
413,413,Environmental Management,Bachelors,57500,93600,63
414,413,General & Strategic Management,Bachelors,56800,93600,52
415,416,Bachelor in Science Nursing,Bachelors,73700,93400,80
416,416,History,Bachelors,54300,93400,47
417,418,Literature,Bachelors,53200,93300,45
418,419,Law,Bachelors,59900,93200,51
419,420,Physiology,Bachelors,55500,93100,66
420,421,Entrepreneurial Studies,Bachelors,54800,93000,32
421,421,Public Relations (PR),Bachelors,51800,93000,43
422,421,Retail Management,Bachelors,60400,93000,39
423,424,Computer Aided Drafting & Design (CADD),Bachelors,56300,92900,49
424,424,Management & Organization,Bachelors,78600,92900,55
425,424,Agriculture,Bachelors,53600,92900,62
426,424,Music Technology,Bachelors,50900,92900,38
427,428,Administration of Justice,Bachelors,51300,92800,53
428,428,Publishing,Bachelors,52000,92800,40
429,428,Urban Studies,Bachelors,57700,92800,60
430,431,Media Studies,Bachelors,57000,92700,38
431,432,Apparel & Textile Manufacture,Bachelors,54200,92600,31
432,432,Philosophy & Religion,Bachelors,51300,92600,54
433,434,Environmental Geography,Bachelors,55900,92500,54
434,435,Communication Studies & Journalism,Bachelors,51200,92300,46
435,435,Interpersonal Communications,Bachelors,50200,92300,48
436,435,Logistics Management,Bachelors,66000,92300,38
437,435,Retail & Consumer Science,Bachelors,58800,92300,27
438,435,Web Design & Development,Bachelors,60100,92300,44
439,440,Accounting & Business,Bachelors,58700,92200,49
440,440,Architectural Technology,Bachelors,55700,92200,62
441,440,Geographic Information Systems (GIS),Bachelors,56100,92200,53
442,443,Environmental Studies,Bachelors,55000,92100,59
443,443,Interactive Media,Bachelors,61300,92100,39
444,445,Retail Merchandising,Bachelors,59000,91900,36
445,446,Diagnostic Medical Sonography,Bachelors,71700,91800,86
446,447,Agricultural Business,Bachelors,61400,91600,58
447,447,Network Administration,Bachelors,54400,91600,54
448,449,Environmental Biology,Bachelors,50500,91300,69
449,449,Dental Hygiene,Bachelors,81200,91300,81
450,451,Journalism & Electronic Media,Bachelors,51400,91200,46
451,451,Web & Digital Media Development,Bachelors,60400,91200,35
